portfolio,crisis,scenario_date,n_assets,assets,n_history_days,cholesky_dim,qv_slope,qv_r2,sigma_bridge,avg_corr_initial,geodesic_distance,var_static_pct,es_static_pct,var_dynamic_pct,es_dynamic_pct,var_uplift_pct,var_uplift_bps,es_uplift_bps,excluded_assets
Commodities,COVID_2020,2020-02-15,10,"SLB,HAL,EOG,MPC,NEM,FCX,BHP,NUE,MOS,CF",2174,45,0.11366075705525859,0.9989355823538405,0.05025728406139719,0.4095617724656185,2.202083872612607,10.812783342686158,13.836630197060732,12.824197467077381,16.053421472157954,2.0114141243912225,201.14141243912226,221.6791275097224,
Finance,COVID_2020,2020-02-15,10,"JPM,BAC,WFC,GS,MS,AXP,USB,BLK,SCHW,MET",3199,45,0.0704175277125529,0.9986173050459264,0.03955798211698673,0.6204319749928734,1.3672651806149692,7.4743154765375746,9.440303775302752,8.077273719606294,10.167810674812056,0.6029582430687199,60.295824306872,72.75068995093045,
Old Economy,COVID_2020,2020-02-15,10,"XOM,CVX,JNJ,PFE,PG,KO,BA,CAT,VZ,DUK",3199,45,0.11274274282518212,0.9957632192447063,0.05005391378308041,0.15024351513636747,2.96217016482438,4.824339044449647,6.039008937237704,6.961942536094462,8.791356298547754,2.1376034916448154,213.76034916448157,275.23473613100487,
Technology,COVID_2020,2020-02-15,10,"AAPL,MSFT,GOOGL,AMZN,META,NVDA,FDS,NFLX,ADBE,CRM",1947,45,0.10864283427524271,0.9981152184286229,0.049135376320086376,0.3691943152982581,2.2535436773855357,8.014484530407334,9.926381075458,9.909764168867815,12.523257729027168,1.8952796384604813,189.52796384604815,259.68766535691674,
Commodities,Downgrade_2011,2011-07-09,9,"SLB,HAL,EOG,NEM,FCX,BHP,NUE,MOS,CF",1034,36,0.06643137514305864,0.9918160986339783,0.04295714115483098,0.5517115470273802,1.5680739591061914,10.104913675568831,13.063027333746247,12.256771881973444,15.319911578998699,2.1518582064046137,215.18582064046137,225.68842452524524,MPC
Finance,Downgrade_2011,2011-07-09,10,"JPM,BAC,WFC,GS,MS,AXP,USB,BLK,SCHW,MET",1034,45,0.07146232760168529,0.9919739260706697,0.039850366679390736,0.6902468304642283,1.1175341893820425,10.228165353177987,13.06221928585624,10.958837318844715,13.731359678181907,0.730671965666728,73.06719656667279,66.91403923256651,
Old Economy,Downgrade_2011,2011-07-09,10,"XOM,CVX,JNJ,PFE,PG,KO,BA,CAT,VZ,DUK",1034,45,0.09800067037215011,0.9942818904411643,0.0466668262788104,0.49620709230479093,1.7380280854397605,5.891540537289913,7.399190647809337,6.688631207679712,8.428315839504759,0.7970906703897982,79.70906703897981,102.91251916954222,
Technology,Downgrade_2011,2011-07-09,9,"AAPL,MSFT,GOOGL,AMZN,NVDA,FDS,NFLX,ADBE,CRM",1034,36,0.08432265396656279,0.9960401876520775,0.04839727206688031,0.43135580681437125,1.8713352964724594,8.941442207921737,11.47772198823974,11.461727933109712,14.210825394397016,2.520285725187975,252.0285725187975,273.3103406157278,META
Commodities,GFC_2008,2008-08-16,9,"SLB,HAL,EOG,NEM,FCX,BHP,NUE,MOS,CF",305,36,0.07317425081332264,0.9908679625275648,0.04508456585293742,0.6498110078569272,1.367059371826373,22.078385315208983,28.525017286577192,25.27039882167501,31.250052081184354,3.1920135064660267,319.20135064660263,272.50347946071616,MPC
Finance,GFC_2008,2008-08-16,10,"JPM,BAC,WFC,GS,MS,AXP,USB,BLK,SCHW,MET",305,45,0.08963048036533901,0.9871498030948096,0.04462945722908905,0.7746402762961553,0.7935435477999981,27.181910190842316,34.55828898228332,27.591743954175808,34.93215122465053,0.4098337633334892,40.98337633334892,37.38622423672122,
Old Economy,GFC_2008,2008-08-16,10,"XOM,CVX,JNJ,PFE,PG,KO,BA,CAT,VZ,DUK",305,45,0.11817532297975747,0.9931977056980202,0.05124566604542334,0.31444626971278483,3.0507413503502425,8.292250529260324,10.586665166193615,10.966443699984744,13.560825683912379,2.674193170724419,267.4193170724419,297.4160517718763,
Technology,GFC_2008,2008-08-16,9,"AAPL,MSFT,GOOGL,AMZN,NVDA,FDS,NFLX,ADBE,CRM",305,36,0.10831709624341125,0.9836681545523609,0.05485260457793819,0.3776913584845229,1.9777151770110657,13.105027152540968,16.689752452008833,17.57820308947709,21.74695910020136,4.473175936936119,447.3175936936119,505.72066481925276,META
