portfolio,crisis,asof,n_assets,cholesky_dim,qv_slope,qv_r2,sigma_bridge,excluded_assets
Commodities,COVID_2020,2020-02-15,10,45,0.11366075705525859,0.9989355823538405,0.05025728406139719,
Finance,COVID_2020,2020-02-15,10,45,0.0704175277125529,0.9986173050459264,0.03955798211698673,
Old Economy,COVID_2020,2020-02-15,10,45,0.11274274282518212,0.9957632192447063,0.05005391378308041,
Technology,COVID_2020,2020-02-15,10,45,0.10864283427524271,0.9981152184286229,0.049135376320086376,
Commodities,Downgrade_2011,2011-07-09,9,36,0.06643137514305864,0.9918160986339783,0.04295714115483098,MPC
Finance,Downgrade_2011,2011-07-09,10,45,0.07146232760168529,0.9919739260706697,0.039850366679390736,
Old Economy,Downgrade_2011,2011-07-09,10,45,0.09800067037215011,0.9942818904411643,0.0466668262788104,
Technology,Downgrade_2011,2011-07-09,9,36,0.08432265396656279,0.9960401876520775,0.04839727206688031,META
Commodities,GFC_2008,2008-08-16,9,36,0.07317425081332264,0.9908679625275648,0.04508456585293742,MPC
Finance,GFC_2008,2008-08-16,10,45,0.08963048036533901,0.9871498030948096,0.04462945722908905,
Old Economy,GFC_2008,2008-08-16,10,45,0.11817532297975747,0.9931977056980202,0.05124566604542334,
Technology,GFC_2008,2008-08-16,9,36,0.10831709624341125,0.9836681545523609,0.05485260457793819,META
